Serial # of the imaged chromosome,ID # of the imaged TAD,x(um),y(um),z(um)
7,11,25.285344,19.441611,1.675538
7,12,25.352924,19.301364,1.70699
7,13,23.918127,20.267792,1.174179
7,14,24.392285,19.839269,0.862513
7,15,25.096364,18.658495,1.573329
7,16,24.346421,18.238443,2.286704
7,17,24.693198,19.441381,1.710232
7,18,24.586054,19.709599,2.362251
7,19,24.268116,20.001467,2.682664
7,20,25.589926,20.536845,1.819357
7,21,23.98374,20.500898,1.078789
7,22,24.543067,19.551926,1.933048
7,23,24.54721,19.299,1.834335
7,24,,,
7,25,25.467656,19.361042,1.194526
7,26,24.825899,19.266463,1.06114
7,27,24.851268,19.03014,2.140583
8,1,20.027166,20.233282,2.298461
8,2,20.195149,20.338309,2.585473
8,3,20.057784,21.744365,2.418467
8,4,20.278758,21.859749,2.479685
8,5,20.793261,21.721371,2.054783
8,6,,,
8,7,22.000539,21.648309,0.954411
8,8,21.961015,21.004083,1.312861
8,9,22.248361,20.89092,1.021051
8,10,,,
8,11,,,
8,12,20.939189,21.334847,2.536517
8,13,20.650477,21.852636,3.267606
8,14,20.93457,22.080287,3.434393
8,15,21.053682,22.28367,2.92489
8,16,21.399277,21.926258,2.679624
8,17,21.368169,22.11485,2.378541
8,18,21.59411,21.742892,2.09902
8,19,21.405989,21.399772,1.863604
8,20,22.33473,21.403769,3.230426
8,21,20.29329,22.183781,2.396518
8,22,19.816189,21.178851,3.04729
8,23,19.501369,20.762647,3.12374
8,24,,,
8,25,19.873839,22.309376,2.45955
8,26,20.359959,22.187926,3.006619
8,27,20.714692,22.189945,2.528455
9,1,23.146613,24.066523,1.301408
9,2,22.928318,24.485439,1.032465
9,3,22.501954,24.000264,1.121626
9,4,22.237106,23.976693,1.675764
9,5,22.016788,23.558513,1.947651
9,6,23.550023,23.974333,3.383999
9,7,23.455091,23.905329,2.8444
9,8,23.378415,25.25436,1.569701
9,9,23.175354,25.359022,1.052902
9,10,,,
9,11,22.167608,25.340203,1.750547
9,12,22.407182,25.107372,2.027277
9,13,23.216729,24.828733,0.976728
9,14,23.339947,24.565857,1.063564
9,15,22.725798,24.915618,2.068889
9,16,22.162495,24.421231,1.714216
9,17,22.237168,24.793827,2.074448
9,18,22.294444,24.859782,2.744812
9,19,21.504633,24.52414,3.015396
9,20,23.539801,25.179589,1.454731
9,21,22.029768,24.798887,2.482351
9,22,23.039998,25.06995,2.456611
9,23,23.526624,24.960526,2.35507
9,24,,,
9,25,22.262531,24.804023,2.814597
9,26,22.344555,23.723015,2.484881
9,27,21.946364,24.219309,2.294242
10,1,15.648201,18.936305,0.933824
10,2,16.140574,18.707676,1.441127
10,3,17.02004,18.1421,1.913342
10,4,16.964125,18.619115,2.112003
10,5,16.425316,18.568238,1.824899
10,6,15.36728,18.751591,1.274332
10,7,16.794507,18.364264,3.421366
10,8,15.163521,18.776847,1.143316
10,9,15.042301,18.540811,0.841321
10,10,,,
10,11,14.5343,18.124677,1.485117
10,12,14.787816,17.787303,1.663916
10,13,15.30324,18.282002,1.276846
10,14,15.893198,19.274714,1.481344
10,15,15.624776,18.121835,1.724831
10,16,15.251076,17.502778,2.327787
10,17,15.083574,17.56237,1.906626
10,18,15.423602,17.407559,2.141774
10,19,15.347833,17.368184,2.458819
10,20,15.891841,17.291668,2.289724
10,21,13.784127,18.20722,3.690825
10,22,14.343386,18.495368,2.215441
10,23,14.180224,18.629902,2.268316
10,24,,,
10,25,15.811958,18.875978,2.239489
10,26,16.076958,19.375078,1.540958
10,27,16.649431,18.949218,1.826154
11,1,24.204628,21.672926,3.09673
11,2,24.757763,21.850322,2.866952
11,3,24.862069,21.706613,2.785823
11,4,25.010463,21.535966,2.349511
11,5,25.165891,20.959498,2.731579
11,6,,,
11,7,,,
11,8,24.525709,19.903548,3.312104
11,9,25.046387,20.063758,3.086806
11,10,,,
11,11,24.674041,19.85117,2.304009
11,12,24.125643,20.274418,2.428405
11,13,24.20312,20.820135,3.050211
11,14,23.644519,21.562053,2.818797
11,15,24.284649,20.898846,2.371428
11,16,24.85724,20.861607,2.136412
11,17,24.965335,20.485146,2.644702
11,18,24.8938,20.518787,2.419147
11,19,25.395693,20.880215,2.285807
11,20,25.527377,21.147653,2.839806
11,21,23.966078,20.125335,1.36389
11,22,25.315922,22.358412,3.158843
11,23,25.077812,21.884637,2.761676
11,24,,,
11,25,24.881208,21.355012,2.17627
11,26,25.499969,21.57729,2.269258
11,27,24.539804,19.92902,2.502841
12,1,27.594093,22.672086,0.893614
12,2,27.35694,23.580731,0.870366
12,3,26.205501,22.912538,0.804732
12,4,25.949613,22.767229,1.069363
12,5,25.626664,22.778242,1.651312
12,6,26.665555,22.014128,2.340005
12,7,28.152549,22.44511,0.845767
12,8,28.339721,23.326835,1.290435
12,9,28.630461,23.025154,1.111514
12,10,,,
12,11,27.257943,23.136858,1.537268
12,12,27.541167,22.838487,1.503734
12,13,28.559311,22.830793,1.032072
12,14,28.072615,22.232427,1.193897
12,15,27.341756,22.898113,1.54568
12,16,26.699204,23.307827,1.79437
12,17,27.84326,22.81113,1.097643
12,18,28.029803,22.042195,2.124883
12,19,26.430006,22.618824,1.519208
12,20,25.76248,23.814751,2.814779
12,21,25.790751,23.842096,2.8204
12,22,25.731881,23.595006,1.889354
12,23,26.230579,23.485881,1.4194
12,24,,,
12,25,26.852215,23.382906,1.566717
12,26,27.98845,23.298614,1.193891
12,27,26.817441,23.600018,1.697228
13,1,18.702378,18.668057,0.905855
13,2,18.529334,19.085712,1.234059
13,3,17.734424,18.422265,0.919424
13,4,17.803875,18.31742,1.203086
13,5,18.079014,18.823473,1.451891
13,6,17.415908,17.85278,0.985489
13,7,17.295206,17.841609,1.021493
13,8,18.508259,18.746332,1.199967
13,9,18.23319,18.98893,1.611004
13,10,,,
13,11,19.258884,20.109649,1.833611
13,12,,,
13,13,17.829205,19.325349,0.623565
13,14,18.631823,19.332199,0.810389
13,15,18.366376,19.436676,1.543834
13,16,18.333441,19.87759,1.510869
13,17,18.175856,19.660515,1.01603
13,18,18.055031,19.879249,1.291976
13,19,17.81083,19.653828,1.535853
