Serial # of the imaged chromosome,ID # of the imaged TAD,x(um),y(um),z(um)
1,1,27.470804,22.081946,1.159702
1,2,26.428704,21.998763,1.456701
1,3,27.822676,21.933124,1.679687
1,4,27.775108,21.485894,1.214245
1,5,27.63561,22.01115,1.629322
1,6,26.875913,22.154462,1.485014
1,7,26.649586,22.216858,1.221109
1,8,25.765928,23.05291,1.536862
1,9,26.269492,23.340185,1.55503
1,10,26.713076,22.51575,1.517785
1,11,25.899475,23.779894,1.256717
1,12,27.264302,22.37615,1.229098
1,13,26.66582,23.001336,1.796852
1,14,26.076002,23.121901,1.52956
1,15,26.576222,23.347101,2.231549
1,16,25.906669,23.413973,2.146299
1,17,25.771131,23.880631,1.774998
1,18,25.896456,23.944594,1.445055
1,19,25.910211,23.456673,1.060539
1,20,27.006949,23.113186,1.509722
1,21,26.775806,24.071342,1.828032
1,22,26.747109,24.167721,1.138419
1,23,25.255638,24.153069,1.992641
1,24,24.994121,24.030683,2.011664
1,25,25.107761,24.090639,1.404587
1,26,25.237705,24.115749,1.075001
1,27,26.01368,24.559798,1.128519
1,28,26.035034,24.348411,1.322374
1,29,25.237585,25.042478,2.71522
1,30,25.319345,23.554744,1.633407
2,1,26.504948,14.075572,1.134835
2,2,26.358534,13.59064,1.851888
2,3,26.0908,13.98363,1.948624
2,4,24.404473,14.110596,1.355253
2,5,24.603647,14.486954,1.456679
2,6,24.253388,13.91956,1.841494
2,7,25.283266,13.835756,1.053612
2,8,25.81533,13.394471,1.729533
2,9,25.539648,13.548408,1.555277
2,10,25.198888,13.212284,0.974508
2,11,24.986825,12.055063,1.163728
2,12,25.816485,12.845997,1.160968
2,13,25.679244,12.785878,1.681463
2,14,25.676171,13.001794,1.795814
2,15,25.919623,12.800368,1.790205
2,16,26.280704,13.280777,1.619362
2,17,25.543426,13.571067,2.052437
2,18,25.555859,14.068288,1.085678
2,19,25.747088,14.459739,1.121229
2,20,26.277325,13.994743,1.670816
2,21,26.65778,12.747303,1.460044
2,22,26.610188,13.290285,1.788051
2,23,27.465783,12.607083,2.151912
2,24,28.441769,12.913298,1.979994
2,25,28.198205,12.735673,1.147413
2,26,27.385547,12.739653,1.24502
2,27,27.081257,12.831876,1.071918
2,28,26.576218,13.081849,1.480732
2,29,26.707672,13.621407,1.40613
2,30,27.165032,13.944105,2.047548
3,1,26.963731,20.578781,1.127367
3,2,28.510065,21.287228,1.463653
3,3,29.443251,21.019388,1.951344
3,4,28.347486,20.35553,1.225913
3,5,28.825504,20.181143,1.474031
3,6,28.245057,20.172432,1.649219
3,7,28.391128,20.351209,1.099657
3,8,27.946806,19.722113,1.631987
3,9,26.629011,21.031372,1.469015
3,10,26.030483,20.699017,1.266509
3,11,27.386352,21.113204,1.250209
3,12,26.920345,18.707409,1.195052
3,13,28.73614,19.11739,1.623042
3,14,28.339604,19.83123,2.17944
3,15,28.829514,19.773708,2.078631
3,16,28.776647,20.081209,2.439373
3,17,29.472431,19.101131,2.027912
3,18,28.186371,19.605775,1.149254
3,19,28.532465,18.952725,1.27731
3,20,27.949145,19.530532,1.349373
3,21,27.308556,19.046201,1.505154
3,22,27.336211,18.520392,1.132067
3,23,26.641457,19.927598,1.613106
3,24,30.030714,20.712065,2.236897
3,25,27.366269,19.447069,1.095802
3,26,26.4214,19.597395,1.141002
3,27,26.921059,19.88,1.181877
3,28,27.654951,19.590638,1.068782
3,29,27.418132,19.453297,1.633976
3,30,30.125275,20.755093,2.170996
4,1,28.425955,19.742156,3.984362
4,2,28.861934,19.948176,1.361921
4,3,29.298902,19.788565,1.862315
4,4,29.569922,19.394361,1.171692
4,5,29.835613,19.113911,1.502523
4,6,29.405799,19.330412,1.695761
4,7,28.250671,20.106865,3.449457
4,8,28.466506,20.83556,2.981036
4,9,28.877246,19.99945,2.941146
4,10,29.161737,20.399674,1.236365
4,11,29.242532,18.819896,1.739155
4,12,28.9124,20.446851,1.492951
4,13,29.333887,20.341443,1.622528
4,14,29.405911,20.425316,2.021314
4,15,29.626891,20.222134,2.530528
4,16,29.169072,20.283898,2.438912
4,17,28.738706,19.607676,1.711932
4,18,28.644401,19.267729,1.323643
4,19,28.23801,19.600683,1.168969
4,20,,,
4,21,28.567056,20.457508,2.095972
4,22,28.888613,20.629381,1.336124
4,23,28.441844,20.065773,1.879713
4,24,28.700209,19.805905,2.009696
4,25,28.594488,19.617687,1.123658
4,26,28.207348,20.135938,1.244266
4,27,28.124026,19.24091,1.382505
4,28,27.922691,19.281714,1.734609
4,29,28.045937,19.518236,1.6361
4,30,27.637436,19.326062,1.939643
5,1,27.899604,23.900828,3.445991
5,2,27.702551,24.021605,2.777215
5,3,26.908795,23.953712,2.683922
5,4,27.338174,23.898851,3.221578
5,5,27.246544,23.235246,2.833066
5,6,27.55874,23.849281,2.45887
5,7,27.10062,23.554118,3.529581
5,8,,,
5,9,27.333269,24.340725,3.088991
5,10,27.801621,24.381931,3.404857
5,11,27.770034,23.289564,3.303115
5,12,27.75323,24.800275,3.32565
5,13,27.417909,25.537753,1.804815
5,14,27.544758,25.024979,2.136172
5,15,27.417899,24.639605,2.340967
5,16,27.295416,23.945481,2.437513
5,17,27.425099,25.791224,3.152445
5,18,26.402137,24.503823,3.077951
5,19,27.113471,25.133933,3.439073
5,20,27.086445,25.565186,3.043129
5,21,27.188095,25.834638,3.213303
5,22,27.391653,26.004955,3.49984
5,23,26.921124,25.229953,2.726514
5,24,27.273636,24.531444,2.958002
5,25,27.272984,24.436341,3.472077
5,26,27.648023,24.245905,3.698857
5,27,27.680308,25.058701,3.653225
5,28,27.132911,25.17425,3.201683
5,29,27.405581,25.384993,3.103553
5,30,27.765761,24.966229,2.742878
6,1,25.088072,17.868679,1.009966
6,2,24.923347,17.584534,1.962862
6,3,24.113423,16.461295,1.750008
6,4,25.433138,16.103227,1.243431
6,5,25.429615,16.844025,1.769659
6,6,25.093844,16.729392,1.998355
6,7,24.293683,16.606486,1.1469
6,8,24.260453,17.127342,1.640435
6,9,24.174371,17.651074,1.608111
6,10,24.034581,17.780728,1.071534
6,11,24.887001,17.558746,1.315458
6,12,25.118845,18.877141,1.153204
6,13,26.109999,18.110997,1.805698
6,14,25.571535,17.585957,1.85318
6,15,25.651635,17.935708,1.784935
6,16,25.913049,17.84866,2.025533
6,17,25.483252,18.063379,1.783505
6,18,24.9867,18.988829,1.179406
6,19,24.34125,18.400083,1.288722
6,20,24.730667,17.558739,1.838686
6,21,25.022261,17.133086,1.913684
6,22,25.795581,17.556445,1.355265
6,23,25.334887,17.242157,1.905034
6,24,25.543448,17.615404,1.554444
6,25,25.294299,17.751603,1.113177
6,26,25.220888,18.290053,1.347644
6,27,25.284505,18.820199,1.159203
6,28,24.706937,18.921274,1.286682
6,29,24.390533,18.854139,1.478847
6,30,25.084227,18.604525,2.309178
7,1,26.197487,25.46471,1.472495
7,2,25.82759,25.236424,1.625387
7,3,26.062502,24.303802,1.645149
7,4,26.413193,24.808609,1.301713
7,5,26.256825,24.846078,1.489172
7,6,26.684392,24.480701,1.695194
7,7,27.297235,24.667615,1.254005
7,8,27.426819,25.100528,1.435608
7,9,26.901463,25.173291,1.304563
7,10,27.13644,24.592251,1.372469
7,11,27.07521,26.182871,1.398613
7,12,26.980071,26.742709,1.268153
7,13,25.796326,26.428442,2.418408
7,14,25.592147,25.919886,2.369003
7,15,25.84403,25.52539,2.428012
7,16,25.722785,25.373745,2.211992
7,17,25.511846,25.678554,1.970923
7,18,26.202697,25.545896,1.4031
7,19,26.269706,26.096987,1.140073
7,20,26.128806,26.222436,1.697602
7,21,25.990015,26.604234,1.536641
7,22,26.253566,26.377301,1.044716
7,23,26.018458,25.235981,1.919777
7,24,26.439163,25.485851,1.625794
7,25,26.554455,25.629453,1.168487
7,26,27.144116,25.787947,1.299757
7,27,27.189034,25.453768,1.386029
7,28,,,
7,29,26.893134,25.116059,1.670114
7,30,26.19589,26.139358,2.256155
8,1,32.494087,21.144201,1.344076
8,2,,,
8,3,32.120499,21.821294,1.693006
8,4,32.606312,21.673246,0.94149
8,5,32.439472,22.260834,1.543256
8,6,32.144089,22.408393,1.506912
8,7,30.825777,21.684851,1.306768
8,8,31.433239,21.325928,1.443115
8,9,31.590189,22.450145,1.516726
8,10,31.874155,22.599246,1.006745
8,11,32.560838,21.404972,0.936952
8,12,31.294284,20.109474,1.464229
8,13,30.88108,19.681234,2.062155
8,14,31.164021,20.301311,1.709596
8,15,31.215873,21.110878,1.5507
8,16,31.266659,20.672763,1.419268
8,17,31.313921,21.715122,1.408885
8,18,31.208993,21.092209,1.041993
8,19,31.429784,20.766837,1.025924
8,20,31.495941,20.249872,1.824134
8,21,,,
8,22,32.095339,20.624033,1.912197
8,23,31.987147,22.384746,1.463877
8,24,31.665115,21.531796,1.699267
8,25,31.460306,21.125832,2.132748
8,26,31.831115,20.397267,1.093157
8,27,,,
8,28,30.599912,22.1247,1.636941
8,29,32.075148,22.124303,1.226072
8,30,32.22861,22.771015,1.509388
9,1,15.432096,20.919153,1.792111
9,2,17.180443,20.726507,1.501739
9,3,16.406779,21.160897,1.6293
9,4,15.14592,20.477194,1.13142
9,5,15.29979,20.666752,1.547988
9,6,16.336491,20.555683,1.567583
9,7,17.334953,20.272877,1.20283
9,8,17.206021,19.989238,1.496968
9,9,16.20052,20.847148,1.583404
9,10,15.97257,21.679296,1.10108
9,11,14.708878,21.282117,1.227735
9,12,15.373457,21.001292,1.08901
9,13,15.5281,22.117475,1.976235
9,14,16.023327,21.748715,1.946855
9,15,15.546313,21.739804,1.822132
9,16,16.692104,22.143509,2.099857
9,17,16.059398,21.506975,1.324467
9,18,14.987375,21.266675,1.249488
9,19,15.291474,21.23916,1.069083
9,20,16.757945,21.624983,1.604396
9,21,15.906996,21.898753,1.64882
9,22,15.678153,21.53264,1.266612
9,23,17.093015,20.700314,1.772694
9,24,16.968316,20.406593,1.566499
9,25,17.025153,21.002627,1.700692
9,26,16.725588,19.949272,1.212228
9,27,16.664775,20.703858,1.086524
9,28,16.530171,21.570237,1.469149
9,29,17.313011,20.8101,1.779269
9,30,15.509862,20.817214,1.809918
10,1,,,
10,2,25.32679,22.340622,2.693175
10,3,,,
10,4,25.745117,21.96381,3.16328
10,5,26.064992,21.964966,2.806399
10,6,25.940563,21.568607,2.377709
10,7,26.642432,21.907716,3.249563
10,8,26.646886,22.1197,2.692839
10,9,26.241766,22.614661,2.731776
10,10,26.131203,22.533392,3.121538
10,11,25.678416,22.302104,3.419059
10,12,25.281345,21.712699,2.960212
10,13,24.905136,22.122463,1.925651
10,14,24.563698,21.796125,1.923687
10,15,24.657491,22.214781,2.081925
10,16,25.069658,22.623837,2.002505
10,17,24.920409,22.404871,2.616297
10,18,24.147505,22.05295,2.741622
10,19,25.700538,23.576655,3.235622
10,20,25.428913,22.848769,2.778627
10,21,25.764869,22.550978,2.311893
10,22,25.47972,23.623437,1.043933
10,23,,,
10,24,25.769586,21.805265,2.307704
10,25,25.806805,21.233431,3.106246
10,26,25.651232,20.969114,2.87957
10,27,25.938206,20.059609,2.931442
10,28,25.438699,20.23642,2.520083
10,29,26.180169,21.99132,2.153268
10,30,23.795789,22.882411,2.228461
11,1,26.94291,9.191744,1.006864
11,2,27.509674,8.464196,1.302801
11,3,26.937084,9.658533,2.400679
11,4,27.59056,8.061733,1.309396
11,5,28.129997,8.148951,1.743444
11,6,27.113719,8.476171,1.427715
11,7,,,
11,8,,,
11,9,26.263019,8.128549,1.504998
11,10,27.531028,7.586502,0.79834
11,11,27.968525,8.332662,1.130541
11,12,27.178732,7.998965,1.558758
11,13,27.210153,9.056126,2.082726
11,14,27.363869,9.264005,1.741278
11,15,27.8787,9.759002,1.633597
11,16,28.056635,8.919237,1.676158
11,17,,,
11,18,28.013656,9.349354,1.198317
11,19,28.203723,9.744754,0.881523
11,20,27.679328,8.671252,1.672503
11,21,27.409258,9.577505,1.831344
