Serial # of the imaged chromosome,ID # of the imaged TAD,x(um),y(um),z(um)
1,1,20.058508,27.677535,2.680473
1,2,20.91014,26.994707,3.056548
1,3,20.551936,27.291391,2.051425
1,4,20.097117,27.537659,2.757642
1,5,20.337958,27.218279,2.60093
1,6,19.476423,26.918921,2.755335
1,7,20.776405,26.362964,2.957714
1,8,19.358247,27.184453,2.37658
1,9,20.895327,26.337213,1.979796
1,10,20.425235,27.105498,2.403839
1,11,19.247101,26.662737,2.708737
1,12,19.290375,26.569368,2.396545
1,13,20.560888,26.207657,2.570134
1,14,19.786212,27.073234,2.856914
1,15,19.341776,26.538929,1.937044
1,16,20.134798,26.468435,1.999096
1,17,19.879887,26.708765,1.985717
1,18,19.833931,26.883623,1.492319
1,19,19.945663,26.804561,1.797077
1,20,19.773777,27.344627,1.585296
1,21,19.451318,27.323689,1.219654
1,22,20.255398,26.822514,1.450928
1,23,20.400698,26.691213,1.917025
1,24,21.057171,27.205433,2.227807
1,25,19.495401,26.751812,2.73635
1,26,20.302204,26.750702,2.706292
1,27,21.023416,26.783378,1.045407
1,28,20.414698,26.101644,1.556719
1,29,19.401239,26.354067,1.923109
1,30,19.405323,26.654725,1.491528
1,31,19.441762,26.509312,1.759505
1,32,20.122407,26.030111,2.209068
1,33,20.152138,26.062624,1.441571
1,34,19.796402,26.129527,1.458719
2,1,,,
2,2,27.372447,26.103126,0.678514
2,3,26.871662,25.85546,0.453551
2,4,26.507113,26.207448,0.551663
2,5,25.947975,26.399228,1.203915
2,6,25.62392,26.150081,0.595623
2,7,26.182563,25.869198,0.664411
2,8,25.603292,26.105045,0.99037
2,9,26.062037,26.089075,1.19505
2,10,26.613467,25.7529,1.273639
2,11,26.997752,25.879738,1.258433
2,12,27.461105,26.043102,0.781434
2,13,27.363011,26.160743,1.318005
2,14,27.434542,26.059828,1.564427
2,15,27.301022,25.749397,1.476125
2,16,27.090339,25.920606,1.596461
2,17,26.996362,25.534066,1.778476
2,18,26.846929,25.452413,1.811567
2,19,26.726065,25.449773,1.613351
2,20,25.499574,26.502841,1.505538
2,21,27.502898,25.056953,1.390564
2,22,27.249841,25.103109,1.32339
2,23,27.369045,25.449035,0.571584
2,24,27.170322,25.467818,1.115747
2,25,26.510284,25.500288,0.743816
2,26,26.135729,25.533001,0.649254
2,27,26.487101,25.219705,1.051619
2,28,26.464843,25.161234,1.250793
2,29,26.808449,24.868854,1.420017
2,30,25.987592,25.502625,0.466943
2,31,27.473705,24.57544,1.52052
2,32,26.023688,26.385292,3.062942
2,33,27.506321,24.973022,1.811471
2,34,25.708767,26.058601,1.778137
3,1,24.107369,30.819823,0.310679
3,2,23.099845,30.436905,0.489646
3,3,23.057357,30.772929,0.650345
3,4,23.608704,31.008941,0.611487
3,5,24.008466,30.918159,0.763904
3,6,23.444627,30.526361,0.922932
3,7,23.898336,30.400182,1.071256
3,8,23.473028,29.744439,0.996613
3,9,23.256145,29.709686,1.006082
3,10,23.824753,29.978972,0.83678
3,11,24.001613,30.172787,0.244677
3,12,23.771423,30.005012,0.442364
3,13,24.486363,30.357873,0.777161
3,14,24.277762,30.373649,1.069623
3,15,24.15318,29.993933,0.355569
3,16,24.36359,29.266517,1.3595
3,17,23.880278,29.026877,1.402731
3,18,23.638072,29.133755,1.77436
3,19,23.56102,29.589653,1.531894
3,20,24.005737,29.484468,1.132548
3,21,23.840891,29.788525,1.270737
3,22,24.096464,29.991518,0.945148
3,23,23.547533,30.034354,1.068946
3,24,23.163489,30.423818,0.80732
3,25,23.175328,30.880879,0.351083
3,26,22.637139,31.627058,0.356799
3,27,22.586933,31.116042,0.331873
3,28,22.625613,31.408991,0.203306
3,29,22.304138,31.122786,0.89847
3,30,22.801347,30.820158,1.312587
3,31,23.26321,30.60479,0.852758
3,32,23.743796,29.901435,0.796812
3,33,23.837929,30.364378,0.60457
3,34,22.936335,30.045677,0.989744
4,1,27.659553,32.35922,0.227819
4,2,29.00042,31.885223,0.402955
4,3,29.467594,31.908632,0.353907
4,4,28.531918,31.089911,0.340072
4,5,28.18182,31.101726,0.854904
4,6,28.598689,31.74323,0.293173
4,7,29.380354,31.544937,0.229263
4,8,28.639213,32.172137,0.796866
4,9,28.732363,31.902291,0.507478
4,10,28.599013,31.814743,0.405501
4,11,28.78596,31.447383,0.417561
4,12,28.817783,31.275741,0.51175
4,13,28.628879,31.081349,0.98098
4,14,28.419164,30.972779,0.649923
4,15,28.173084,30.953876,0.49064
4,16,28.332549,30.47965,0.828378
4,17,28.223756,30.484202,1.034009
4,18,28.388733,31.186722,1.142905
4,19,28.273527,31.040563,1.405793
4,20,28.567874,31.000284,1.359907
4,21,28.720263,31.833373,1.27953
4,22,28.894087,31.407952,1.371014
4,23,29.156153,31.676057,1.12579
4,24,28.480912,31.455901,1.066796
4,25,28.493148,31.451873,0.114344
4,26,28.28405,32.163974,0.087413
4,27,28.406087,32.027784,0.474832
4,28,28.452602,32.039323,-0.015854
4,29,28.382979,32.226062,0.640595
4,30,28.755622,32.340568,1.436402
4,31,29.017475,32.296382,1.067142
4,32,29.11614,32.011706,0.682816
4,33,29.254292,32.131072,0.79698
4,34,29.349169,32.065955,1.123235
5,1,29.14718,20.677025,0.512451
5,2,30.056295,19.640971,1.274083
5,3,,,
5,4,29.696856,20.3674,0.544563
5,5,30.022188,20.326416,0.899237
5,6,30.170028,19.993043,0.827588
5,7,29.838978,19.719759,0.888603
5,8,29.73677,20.241646,1.159961
5,9,29.98663,20.081647,1.066505
5,10,29.108508,19.806532,1.016241
5,11,29.657826,19.336888,0.833827
5,12,29.017247,19.874821,0.850889
5,13,29.393947,20.119798,1.196286
5,14,29.335113,20.145132,1.038209
5,15,29.645666,20.720412,1.399382
5,16,29.540877,19.809237,2.104577
5,17,29.617895,20.187287,1.968785
5,18,29.590054,20.48243,2.132041
5,19,29.26727,20.499072,2.654107
5,20,29.703787,20.63768,1.997342
5,21,29.908431,20.704384,1.818806
5,22,29.619807,20.389265,1.829862
5,23,29.511033,20.236405,1.32738
5,24,29.22583,19.70946,1.266753
5,25,29.394914,19.379238,0.948526
5,26,29.246092,19.215057,1.005684
5,27,28.898759,19.278216,1.196993
5,28,29.470002,19.487633,0.889522
5,29,29.199451,19.90136,1.508866
5,30,29.460846,20.172002,2.020282
5,31,29.658432,19.582969,1.502506
5,32,29.65828,19.814317,1.423509
5,33,29.698683,20.276813,1.510136
5,34,30.093936,20.447125,1.448556
6,1,,,
6,2,28.657107,26.657722,0.638739
6,3,28.610238,26.181667,0.461563
6,4,29.331088,26.121888,0.64271
6,5,29.297048,25.822703,0.654583
6,6,29.238037,25.343012,0.504469
6,7,28.816665,26.047912,0.575228
6,8,29.384878,25.807673,1.275429
6,9,29.000051,25.916332,0.971229
6,10,29.391548,26.535258,0.801086
6,11,29.6958,26.409669,0.521277
6,12,29.60374,26.45274,1.075478
6,13,30.04854,26.047723,1.122289
6,14,30.178738,26.214562,0.90358
6,15,29.676105,26.287129,1.060132
6,16,29.35304,26.672406,0.741866
6,17,29.542453,26.981002,0.972466
6,18,30.045656,26.883434,0.994939
6,19,29.912624,26.900795,1.500422
6,20,30.174573,26.829212,1.360376
6,21,30.574511,27.18629,1.108482
6,22,30.084666,26.852502,1.118573
6,23,30.133745,26.43113,0.623226
6,24,30.037883,26.704072,1.271072
6,25,29.523803,25.700542,0.615542
6,26,29.898021,25.885053,0.396828
6,27,29.714787,26.055234,0.513141
6,28,30.5759,26.079827,0.846321
6,29,30.179968,25.498754,0.939583
6,30,30.052191,25.510418,0.774859
6,31,29.904897,26.326303,0.28734
6,32,30.025777,25.416575,1.071555
6,33,29.541512,25.324622,0.752091
6,34,29.161112,25.406183,0.946444
7,1,,,
7,2,20.350244,22.104211,2.538148
7,3,19.822004,22.057349,2.165647
7,4,20.090327,21.631006,2.193859
7,5,19.763726,21.654429,2.040318
7,6,19.462658,21.741299,1.814461
7,7,19.482373,20.756838,1.334099
7,8,19.290626,21.459055,1.403269
7,9,19.460182,21.392274,1.502361
